timestamp,name,email,password
06|12|2024 14:19:47,mustt,mustafaaaa@@,qwertyuiop
06|12|2024 15:35:27,asdfghjkl;,jfghjk@,sdfghjm
06|12|2024 15:38:52,dfghj,dfghj@,sdfghj
06|12|2024 15:46:06,abcc,abcc@gmail.com,asdfghj
14|12|2024 12:13:15,om,omm@gmail.com,123456789
15|12|2024 00:52:04,mustafa,muss@gmail.com,123456
15|12|2024 00:56:00,mus,muss@gmail,123456
15|12|2024 00:58:44,dfg,asdf@gg,2222
16|12|2024 16:12:49,Ojas ,ojas@gmail.com,7894
16|12|2024 20:45:23,mustafaKhan,mkkk@gmail.com,123456
16|12|2024 20:58:16,mustafa,bbiill@,123456
16|12|2024 21:03:23,mustafa,4455@gmail,4455
25|12|2024 11:48:02,Ayaan,ayaan@gmail.com,123
